tradeDate,open,close,high,low,amount,volume,turnoverRate,changePct
2024-09-27,3.36,3.44,3.49,3.34,0.0,555099.0,0.0,0.0
2024-09-30,3.53,3.71,3.75,3.47,0.0,986511.0,0.0,0.0
2024-10-08,4.03,3.77,4.08,3.53,0.0,1470839.0,0.0,0.0
2024-10-09,3.67,3.39,3.69,3.39,0.0,791185.0,0.0,0.0
2024-10-10,3.39,3.46,3.6,3.39,0.0,585092.0,0.0,0.0
2024-10-11,3.46,3.36,3.47,3.31,0.0,352110.0,0.0,0.0
2024-10-14,3.35,3.39,3.41,3.3,0.0,405244.0,0.0,0.0
2024-10-15,3.35,3.32,3.43,3.31,0.0,350465.0,0.0,0.0
2024-10-16,3.28,3.32,3.36,3.26,0.0,247377.0,0.0,0.0
2024-10-17,3.33,3.3,3.38,3.3,0.0,283033.0,0.0,0.0
2024-10-18,3.29,3.39,3.42,3.27,0.0,457618.0,0.0,0.0
2024-10-21,3.37,3.38,3.41,3.33,0.0,418489.0,0.0,0.0
2024-10-22,3.39,3.47,3.5,3.36,0.0,475693.0,0.0,0.0
2024-10-23,3.5,3.6,3.63,3.44,0.0,865443.0,0.0,0.0
2024-10-24,3.57,3.69,3.76,3.54,0.0,959861.0,0.0,0.0
2024-10-25,3.71,3.86,3.94,3.68,0.0,1088562.0,0.0,0.0
2024-10-28,3.87,3.99,4.04,3.76,0.0,1071963.0,0.0,0.0
2024-10-29,4.07,4.39,4.39,4.0,0.0,1964455.0,0.0,0.0
2024-10-30,4.39,4.83,4.83,4.22,0.0,2365516.0,0.0,0.0
2024-10-31,4.93,5.31,5.31,4.67,0.0,2299113.0,0.0,0.0
2024-11-01,5.42,4.81,5.6,4.78,0.0,2611543.0,0.0,0.0
2024-11-04,4.77,5.18,5.28,4.68,0.0,2510595.0,0.0,0.0
2024-11-05,5.08,5.51,5.69,5.08,0.0,2255329.0,0.0,0.0
2024-11-06,5.58,6.06,6.06,5.45,0.0,3012103.0,0.0,0.0
2024-11-07,5.8,5.48,5.8,5.45,0.0,2617035.0,0.0,0.0
2024-11-08,5.43,5.27,5.8,5.21,0.0,2119697.0,0.0,0.0
2024-11-11,5.18,5.38,5.48,5.18,0.0,1271100.0,0.0,0.0
2024-11-12,5.35,5.11,5.44,5.06,0.0,1476741.0,0.0,0.0
2024-11-13,5.05,4.94,5.13,4.77,0.0,1147587.0,0.0,0.0
2024-11-14,5.0,4.88,5.08,4.87,0.0,979706.0,0.0,0.0
2024-11-15,4.84,4.68,4.9,4.67,0.0,905022.0,0.0,0.0
2024-11-18,4.75,4.45,4.78,4.4,0.0,754627.0,0.0,0.0
2024-11-19,4.47,4.62,4.65,4.37,0.0,844316.0,0.0,0.0
2024-11-20,4.59,4.72,4.79,4.53,0.0,857395.0,0.0,0.0
2024-11-21,4.66,4.75,4.79,4.65,0.0,740380.0,0.0,0.0
2024-11-22,4.72,4.44,4.75,4.43,0.0,752107.0,0.0,0.0
2024-11-25,4.54,4.52,4.57,4.34,0.0,674614.0,0.0,0.0
2024-11-26,4.5,4.43,4.55,4.41,0.0,421793.0,0.0,0.0
2024-11-27,4.4,4.39,4.4,4.21,0.0,589243.0,0.0,0.0
2024-11-28,4.39,4.44,4.58,4.37,0.0,736029.0,0.0,0.0
2024-11-29,4.46,4.5,4.55,4.34,0.0,595871.0,0.0,0.0
2024-12-02,4.62,4.95,4.95,4.61,0.0,637538.0,0.0,0.0
2024-12-03,5.18,4.96,5.19,4.91,0.0,2010709.0,0.0,0.0
2024-12-04,4.92,4.71,4.93,4.68,0.0,1103545.0,0.0,0.0
2024-12-05,4.66,4.9,5.09,4.66,0.0,1269283.0,0.0,0.0
2024-12-06,4.85,4.9,4.95,4.73,0.0,827321.0,0.0,0.0
2024-12-09,4.87,4.84,4.99,4.78,0.0,616085.0,0.0,0.0
2024-12-10,4.96,4.85,5.05,4.83,0.0,879654.0,0.0,0.0
2024-12-11,4.76,4.95,4.96,4.75,0.0,808047.0,0.0,0.0
2024-12-12,4.95,4.92,4.99,4.83,0.0,628156.0,0.0,0.0
2024-12-13,4.9,4.86,5.0,4.84,0.0,712331.0,0.0,0.0
2024-12-16,4.8,5.04,5.15,4.78,0.0,1329415.0,0.0,0.0
2024-12-17,4.96,5.0,5.24,4.92,0.0,1415088.0,0.0,0.0
2024-12-18,5.09,4.92,5.1,4.86,0.0,995036.0,0.0,0.0
2024-12-19,4.81,4.69,4.82,4.65,0.0,823522.0,0.0,0.0
2024-12-20,4.7,4.66,4.75,4.6,0.0,565448.0,0.0,0.0
2024-12-23,4.58,4.41,4.64,4.4,0.0,611885.0,0.0,0.0
2024-12-24,4.41,4.44,4.46,4.34,0.0,364633.0,0.0,0.0
2024-12-25,4.45,4.18,4.45,4.15,0.0,595422.0,0.0,0.0
2024-12-26,4.18,4.24,4.26,4.16,0.0,362063.0,0.0,0.0
2024-12-27,4.24,4.42,4.56,4.2,0.0,684427.0,0.0,0.0
2024-12-30,4.38,4.3,4.39,4.2,0.0,459857.0,0.0,0.0
2024-12-31,4.29,4.18,4.37,4.17,0.0,383119.0,0.0,0.0
2025-01-02,4.19,4.05,4.24,4.01,0.0,391143.0,0.0,0.0
2025-01-03,4.06,3.87,4.12,3.84,0.0,389892.0,0.0,0.0
2025-01-06,3.84,3.91,3.98,3.72,0.0,312165.0,0.0,0.0
2025-01-07,3.98,4.02,4.02,3.91,0.0,343765.0,0.0,0.0
2025-01-08,3.99,3.99,4.03,3.87,0.0,319119.0,0.0,0.0
2025-01-09,3.98,4.02,4.06,3.96,0.0,258333.0,0.0,0.0
2025-01-10,4.02,3.85,4.07,3.84,0.0,274263.0,0.0,0.0
2025-01-13,3.81,3.81,3.85,3.73,0.0,260316.0,0.0,0.0
2025-01-14,3.84,4.02,4.05,3.81,0.0,373478.0,0.0,0.0
2025-01-15,4.03,3.98,4.03,3.93,0.0,269543.0,0.0,0.0
2025-01-16,4.01,4.06,4.11,3.99,0.0,316249.0,0.0,0.0
2025-01-17,4.01,4.0,4.04,3.96,0.0,231966.0,0.0,0.0
2025-01-20,4.02,4.02,4.06,3.97,0.0,210044.0,0.0,0.0
2025-01-21,4.03,4.01,4.04,3.94,0.0,226615.0,0.0,0.0
2025-01-22,3.97,3.97,4.05,3.94,0.0,240368.0,0.0,0.0
2025-01-23,4.02,3.96,4.1,3.95,0.0,315240.0,0.0,0.0
2025-01-24,3.94,4.02,4.02,3.91,0.0,290013.0,0.0,0.0
2025-01-27,3.99,3.94,4.12,3.94,0.0,432339.0,0.0,0.0
2025-02-05,3.99,4.0,4.04,3.95,0.0,277077.0,0.0,0.0
2025-02-06,3.98,4.12,4.14,3.93,0.0,502861.0,0.0,0.0
2025-02-07,4.11,4.2,4.25,4.1,0.0,561501.0,0.0,0.0
2025-02-10,4.25,4.28,4.29,4.2,0.0,427701.0,0.0,0.0
2025-02-11,4.28,4.16,4.29,4.14,0.0,414591.0,0.0,0.0
2025-02-12,4.13,4.2,4.21,4.12,0.0,306576.0,0.0,0.0
2025-02-13,4.21,4.19,4.26,4.16,0.0,328420.0,0.0,0.0
2025-02-14,4.19,4.15,4.26,4.14,0.0,324674.0,0.0,0.0
2025-02-17,4.13,4.19,4.24,4.12,0.0,348011.0,0.0,0.0
